,0
0,0.1062268316745758
1,0.09780406951904297
2,0.11443081498146057
3,0.08867785334587097
4,0.11665740609169006
5,0.11602054536342621
6,0.13795343041419983
7,0.13037317991256714
8,0.11792849749326706
9,0.10841912776231766
10,0.11154193431138992
11,0.12819308042526245
12,0.08974822610616684
13,0.09922082722187042
14,0.03040151484310627
15,-0.1392112374305725
16,-0.0869208425283432
17,-0.06386657804250717
18,-0.025568997487425804
19,-0.02551836147904396
20,-0.01684490032494068
21,0.0027528037317097187
22,0.019936533644795418
23,0.006759789306670427
24,0.021711282432079315
25,0.06992191076278687
26,0.05921800062060356
27,0.05588528886437416
28,0.10606084018945694
29,0.10865934938192368
30,0.09970873594284058
31,0.09487933665513992
32,0.06755201518535614
33,0.07392744719982147
34,-0.003920847084373236
35,0.06575184315443039
36,0.07741362601518631
37,0.09014809131622314
38,0.13942453265190125
39,0.10275565087795258
40,0.026763111352920532
41,0.07277477532625198
42,0.04358573257923126
43,0.0019179186783730984
44,-0.027967598289251328
45,-0.11798864603042603
46,-0.12774881720542908
47,-0.16721703112125397
48,-0.192568838596344
49,-0.15809661149978638
50,-0.22416825592517853
51,-0.17320609092712402
52,-0.12084919959306717
53,-0.1340029388666153
54,-0.12754547595977783
55,-0.14686936140060425
56,-0.14039523899555206
57,-0.1463506519794464
58,-0.11439216881990433
59,-0.12584808468818665
60,-0.08026423305273056
61,-0.0897660180926323
62,-0.0830652192234993
63,-0.09576819092035294
64,-0.10432646423578262
65,-0.06538674980401993
66,-0.08061851561069489
67,-0.07792104780673981
68,-0.057975348085165024
69,-0.05046718940138817
70,-0.07487499713897705
71,-0.05803108960390091
72,-0.0632079467177391
73,-0.08082825690507889
74,-0.06696175783872604
75,-0.05278317257761955
76,-0.043169256299734116
77,-0.01868753880262375
78,-0.005960703361779451
79,-0.012066619470715523
80,0.008750192821025848
81,0.00690035242587328
82,0.006931259762495756
83,0.011239582672715187
84,-0.011892944574356079
85,-0.018559232354164124
86,-0.013132479041814804
87,0.00478744599968195
88,-0.006515376269817352
89,-0.018032994121313095
90,-0.06626566499471664
91,-0.06343800574541092
92,-0.04008487984538078
93,-0.05468225106596947
94,-0.04875930771231651
95,-0.04317398741841316
96,0.012899085879325867
97,0.019471680745482445
98,0.01951468363404274
99,0.018728498369455338
100,0.02897685579955578
101,0.04010578989982605
102,0.05358392372727394
103,0.049646977335214615
104,0.02609233185648918
105,0.02996160462498665
106,0.004109518602490425
107,0.03613632172346115
108,0.03776174783706665
109,0.05216211453080177
110,0.08136336505413055
111,0.0831567645072937
112,0.09377209097146988
113,0.10301490128040314
114,0.08727985620498657
115,0.11643917113542557
116,0.16149447858333588
117,0.20882952213287354
118,0.2538478374481201
119,0.3884977102279663
120,0.403565376996994
121,0.4443516433238983
122,0.4802406132221222
123,0.43313300609588623
124,0.48679307103157043
125,0.46192121505737305
126,0.428475558757782
127,0.3058038353919983
128,0.3210951089859009
129,0.39398568868637085
130,0.39975759387016296
131,0.4123372435569763
132,0.4112569987773895
133,0.30007243156433105
134,0.31235992908477783
135,0.33375754952430725
136,0.3932887315750122
137,0.3810023069381714
138,0.4019096791744232
139,0.44290387630462646
140,0.44531822204589844
141,0.4460204839706421
142,0.43830984830856323
143,0.40883302688598633
144,0.41794058680534363
145,0.3947807550430298
146,0.37643009424209595
147,0.37001633644104004
148,0.40706056356430054
149,0.46650946140289307
150,0.46518194675445557
151,0.4264381527900696
152,0.3933674395084381
153,0.4147011339664459
154,0.4345928132534027
155,0.43787258863449097
156,0.4078676104545593
157,0.4214212894439697
158,0.48211872577667236
159,0.4670411944389343
160,0.48096686601638794
161,0.4819154441356659
162,0.46751415729522705
163,0.44231700897216797
164,0.3881068229675293
165,0.4015566408634186
166,0.34253594279289246
167,0.34113234281539917
168,0.3654850125312805
169,0.3782609701156616
170,0.3983815908432007
171,0.38165152072906494
172,0.3684046268463135
173,0.42450860142707825
174,0.3999648690223694
175,0.37004226446151733
176,0.3789471685886383
177,0.3309667706489563
178,0.33470574021339417
179,0.3410952687263489
180,0.3464118242263794
181,0.34404456615448
182,0.3944353759288788
183,0.47077295184135437
184,0.47939661145210266
185,0.46214261651039124
186,0.4576456844806671
187,0.4538506865501404
188,0.4343986511230469
189,0.45481351017951965
190,0.45447012782096863
191,0.44649115204811096
192,0.4145103096961975
193,0.39986154437065125
194,0.404185026884079
195,0.4246070384979248
196,0.4437687397003174
197,0.4020642638206482
198,0.4157698452472687
199,0.4462634027004242
200,0.465665727853775
201,0.5040748119354248
202,0.5044005513191223
203,0.5558052062988281
204,0.5410371422767639
205,0.5147104859352112
206,0.5166267156600952
207,0.4888840913772583
208,0.5143199563026428
209,0.509274959564209
210,0.5076009035110474
211,0.5271224975585938
212,0.5353461503982544
213,0.5685325264930725
214,0.5520079731941223
215,0.517829179763794
216,0.5226083993911743
217,0.5554909110069275
218,0.5444645881652832
219,0.6018972396850586
220,0.6019222140312195
221,0.5965015888214111
222,0.6012619137763977
223,0.577782154083252
224,0.5711402297019958
225,0.5350292325019836
226,0.5338608026504517
227,0.5065030455589294
228,0.5308024287223816
229,0.5363200306892395
230,0.5410325527191162
231,0.575225293636322
232,0.565812885761261
233,0.5910077095031738
234,0.5468946099281311
235,0.5696592926979065
236,0.5658384561538696
237,0.588413655757904
238,0.6004547476768494
239,0.5889094471931458
240,0.6269525289535522
241,0.6794031858444214
242,0.7097355723381042
243,0.7639110684394836
244,0.790337324142456
245,0.8419339656829834
246,0.832136869430542
247,0.8029641509056091
248,0.8863850235939026
249,0.8765045404434204
250,0.818712592124939
251,0.8120606541633606
252,0.8445482850074768
253,0.8010103106498718
254,0.8219255208969116
255,0.8695157170295715
256,0.8720994591712952
257,0.9022800326347351
258,0.8415635824203491
259,0.8496456146240234
260,0.7685540914535522
261,0.7550202012062073
262,0.7903269529342651
263,0.8351797461509705
264,0.8266381025314331
265,0.8205891847610474
266,0.8256776928901672
267,0.869296669960022
268,0.9347073435783386
269,1.0
270,0.9788549542427063
271,0.9844778180122375
272,0.8869118690490723
273,0.877416729927063
274,0.8010343909263611
275,0.8182299137115479
276,0.7468478679656982
277,0.7909371852874756
278,0.7537654042243958
279,0.808906078338623
280,0.7167167663574219
281,0.7070897221565247
282,0.6088454723358154
283,0.5502416491508484
284,0.5677717924118042
285,0.6347494125366211
286,0.6445124745368958
287,0.5849360823631287
288,0.6084895133972168
289,0.6200440526008606
290,0.6420341730117798
291,0.569641649723053
292,0.5965508818626404
293,0.5708001255989075
294,0.5274966955184937
295,0.5262397527694702
296,0.5862507224082947
297,0.5910279750823975
298,0.6167495250701904
299,0.5918253064155579
300,0.6253755688667297
301,0.652671217918396
302,0.6412675380706787
303,0.6215946078300476
304,0.6261451840400696
305,0.5848249793052673
306,0.5377422571182251
307,0.5333871841430664
308,0.5554171800613403
309,0.5384024381637573
310,0.5476516485214233
311,0.6126037836074829
312,0.6106412410736084
313,0.6189081072807312
314,0.6138008832931519
315,0.6386398673057556
316,0.6073471903800964
317,0.6144867539405823
318,0.6299259066581726
319,0.6540753841400146
320,0.6322087049484253
321,0.598686158657074
322,0.5637084245681763
323,0.5617568492889404
324,0.5782252550125122
325,0.5897759199142456
326,0.5620534420013428
327,0.625275194644928
328,0.6652645468711853
329,0.6666707396507263
330,0.658430814743042
331,0.6660314202308655
332,0.637938380241394
333,0.6494624614715576
334,0.7370203137397766
335,0.7381570339202881
336,0.7476390600204468
337,0.7384235858917236
338,0.7440574169158936
339,0.7494918704032898
340,0.7216984629631042
341,0.7030526995658875
342,0.7175614833831787
343,0.7150619029998779
344,0.6905987858772278
345,0.6929277777671814
346,0.7117502093315125
347,0.6866138577461243
348,0.6553603410720825
349,0.609096109867096
350,0.6205999851226807
351,0.6209081411361694
352,0.6144146919250488
353,0.6314934492111206
354,0.6450581550598145
355,0.6496701240539551
356,0.6948193907737732
357,0.7011578679084778
358,0.6682527661323547
359,0.6862580180168152
360,0.68928062915802
361,0.6094327569007874
362,0.6119458079338074
363,0.6105008721351624
364,0.6413471102714539
365,0.6132704019546509
366,0.6031538844108582
367,0.6371645927429199
368,0.6422120928764343
369,0.6104904413223267
370,0.6472452282905579
371,0.6167729496955872
372,0.6268364191055298
373,0.6244173049926758
374,0.6432569026947021
375,0.6474006175994873
376,0.6137926578521729
377,0.5256764888763428
378,0.4321545362472534
379,0.4370834231376648
380,0.4853489398956299
381,0.46432894468307495
382,0.5302115678787231
383,0.53059983253479
384,0.5544604063034058
385,0.5382391810417175
386,0.5236691832542419
387,0.5580697655677795
388,0.5890233516693115
389,0.5740761756896973
390,0.5515056252479553
391,0.5367946028709412
392,0.5341525077819824
393,0.4784303307533264
394,0.5089806318283081
395,0.4917265772819519
396,0.4418056905269623
397,0.4776104986667633
398,0.505837082862854
399,0.5110870599746704
400,0.45919016003608704
401,0.47286152839660645
402,0.4654581844806671
403,0.4613405168056488
404,0.4956609010696411
405,0.49563542008399963
406,0.4814721941947937
407,0.5302063226699829
408,0.5619758367538452
409,0.5508506298065186
410,0.5497115850448608
411,0.5730985403060913
412,0.5613471269607544
413,0.5213024616241455
414,0.49451059103012085
415,0.46246281266212463
416,0.4883943498134613
417,0.4700256288051605
418,0.486919105052948
419,0.48489370942115784
420,0.4999133050441742
421,0.5033847689628601
422,0.4765622913837433
423,0.494007408618927
424,0.5281716585159302
425,0.5315316319465637
426,0.5033895373344421
427,0.5336371660232544
428,0.51939457654953
429,0.52933669090271
430,0.498518705368042
431,0.5242919325828552
432,0.5175521373748779
433,0.5271367430686951
434,0.5441815853118896
435,0.5548235774040222
436,0.5459946393966675
437,0.5110909342765808
438,0.49280089139938354
439,0.5167917609214783
440,0.5070706009864807
441,0.4797431528568268
442,0.4696732461452484
443,0.4952755868434906
444,0.48108699917793274
445,0.48422276973724365
446,0.48345136642456055
447,0.4697165787220001
448,0.5113535523414612
449,0.505828857421875
450,0.5026051998138428
451,0.5031120181083679
452,0.5044202208518982
453,0.4785459637641907
454,0.5067332983016968
455,0.5187423825263977
456,0.51925128698349
457,0.5210316777229309
458,0.5101649165153503
459,0.4906446039676666
460,0.4859662353992462
461,0.4755398631095886
462,0.4818961024284363
463,0.48851409554481506
464,0.5126245617866516
465,0.5081111788749695
466,0.5239577293395996
467,0.5636423826217651
468,0.6081281304359436
469,0.595457136631012
470,0.6108752489089966
471,0.5925427079200745
472,0.5690011382102966
473,0.5844995975494385
474,0.5415124893188477
475,0.5015516877174377
476,0.5193263292312622
477,0.5198472142219543
478,0.5382760167121887
479,0.5235510468482971
480,0.5224646925926208
481,0.542159914970398
482,0.5031979084014893
483,0.5236402750015259
484,0.5337793231010437
485,0.5216269493103027
486,0.4949414134025574
487,0.4681251049041748
488,0.47034892439842224
489,0.4820004403591156
490,0.45712825655937195
491,0.48282477259635925
492,0.44000568985939026
493,0.418941468000412
494,0.4407351613044739
495,0.46549952030181885
496,0.4477779269218445
497,0.4709618091583252
498,0.44720590114593506
499,0.45119622349739075
500,0.3929893970489502
501,0.4111899137496948
502,0.36150404810905457
503,0.33134642243385315
504,0.36914411187171936
505,0.3555355668067932
506,0.37880396842956543
507,0.37224701046943665
508,0.35156992077827454
509,0.324850857257843
510,0.35087499022483826
511,0.3604896068572998
512,0.3664968013763428
513,0.37836048007011414
514,0.3692646026611328
515,0.33692631125450134
516,0.36320799589157104
517,0.3128269910812378
518,0.3365350067615509
519,0.34095409512519836
520,0.3614017367362976
521,0.3393172323703766
522,0.324818879365921
523,0.29514843225479126
524,0.21793144941329956
525,0.17095895111560822
526,0.14997142553329468
527,0.18571209907531738
528,0.1930677741765976
529,0.12224122881889343
530,0.019602999091148376
531,0.11220201849937439
532,0.1560719609260559
533,0.17123347520828247
534,0.16738703846931458
535,0.16553209722042084
536,0.1769396811723709
537,0.1633879542350769
538,0.12214259058237076
539,0.10810892283916473
540,0.10041037201881409
541,0.1648891568183899
542,0.1479559689760208
543,0.17674650251865387
544,0.1701258420944214
545,0.14070099592208862
546,0.1523476094007492
547,0.08209482580423355
548,0.12504442036151886
549,0.10341669619083405
550,0.1312774121761322
551,0.12976093590259552
552,0.11774036288261414
553,0.10081759840250015
554,0.06635531783103943
555,0.0260629840195179
556,0.03542657569050789
557,-0.07118472456932068
558,-0.08773669600486755
559,-0.027847569435834885
560,-0.014102390967309475
561,0.037034422159194946
562,0.03379271179437637
563,-0.020709818229079247
564,-0.037576623260974884
565,-0.014768331311643124
566,0.01563127525150776
567,0.006126153748482466
568,0.022176779806613922
